"scid","sname","scity","sdist"
"885","בכר","אבן יהודה","מרכז"
"1429","אבן שמואל","אבן שמואל","דרום"
"1108","אביר יעקב","אופקים","דרום"
"1110","אשלים","אופקים","דרום"
"1137","הגבעה","אופקים","דרום"
"1249","והדרת","אופקים","דרום"
"1353","מעיינות חיה","אופקים","דרום"
"886","ב''י מכתב מאליהו","אור יהודה","תל אביב"
"887","הדרים","אור יהודה","תל אביב"
"888","סביונים","אור יהודה","תל אביב"
"1186","סעדיה גאון","אור יהודה","תל אביב"
"1187","שיזף","אור יהודה","תל אביב"
"1188","אלונים","אור יהודה","תל אביב"
"1662","אור חנה","אור יהודה","תל אביב"
"889","יוספטל","אזור","תל אביב"
"1182","מימון","אזור","תל אביב"
"1183","רבין","אזור","תל אביב"
"890","היובל","אילת","דרום"
"891","מצפה ים","אילת","דרום"
"1386","חב""ד אילת","אילת","דרום"
"1388","גלים","אילת","דרום"
"1389","עציון גבר","אילת","דרום"
"1390","אופיר ","אילת","דרום"
"1391","תל""י הרי אילת","אילת","דרום"
"1392","צאלים","אילת","דרום"
"1432","אלמוג ","אילת","דרום"
"1626","אולפנת אילת","אילת","דרום"
"1467","אולפנת השומרון","אלקנה","מרכז"
"1577","תיכון דרך האבות","אפרתה","ירושלים"
"1602","אורות עציון","אפרתה","ירושלים"
"1455","נחשונים","אריאל","מרכז"
"1261","מטה","ארצי","ארצי"
"1264","בינה","ארצי","ארצי"
"1370","ותיקים בתנועה","ארצי","ארצי"
"1569","על""ה","ארצי","ארצי"
"1610","Temple Beth Am, Miami","ארצי","ארצי"
"1648","תכנית מגשימים - מרכז","ארצי","ארצי"
"1673","רמב""ם - קישניב","ארצי","ארצי"
"892","אילנות","אשדוד","דרום"
"893","ארזים ","אשדוד","דרום"
"894","אשכול ","אשדוד","דרום"
"895","המגינים","אשדוד","דרום"
"896","עלומים","אשדוד","דרום"
"1112","אחדות","אשדוד","דרום"
"1114","הרא""ה","אשדוד","דרום"
"1139","חופית","אשדוד","דרום"
"1254","שזר","אשדוד","דרום"
"1338","צפרירים","אשדוד","דרום"
"1339","שקמים","אשדוד","דרום"
"1340","תכנית מגשימים","אשדוד","דרום"
"1348","צמח","אשדוד","דרום"
"1349","אופק","אשדוד","דרום"
"1350","מקיף ד","אשדוד","דרום"
"1351","מקיף י אמי""ת ","אשדוד","דרום"
"1393","היובל","אשדוד","דרום"
"1394","חב""ד","אשדוד","דרום"
"1395","אריאל","אשדוד","דרום"
"1410","גאולים","אשדוד","דרום"
"1415","מקיף ז'","אשדוד","דרום"
"1416","אמירים ","אשדוד","דרום"
"1417","מקיף יא","אשדוד","דרום"
"1430","מקיף ט","אשדוד","דרום"
"1502","אורט ימי","אשדוד","דרום"
"1584","שקד","אשדוד","דרום"
"1617","רעים","אשדוד","דרום"
"1618","הראל","אשדוד","דרום"
"1354","אור חיה","אשקלון","דרום"
"1355","אורט אפרידר","אשקלון","דרום"
"1360","ת""ת אור מנחם חב""ד","אשקלון","דרום"
"1396","ברנע","אשקלון","דרום"
"1418","חב""ד בנים","אשקלון","דרום"
"1419","חב""ד בנות","אשקלון","דרום"
"1420","דקל","אשקלון","דרום"
"1421","רותם","אשקלון","דרום"
"1503","אורט רונסון","אשקלון","דרום"
"1622","נוף ים א","אשקלון","דרום"
"1642","סיני","אשקלון","דרום"
"1643","נווה אילן","אשקלון","דרום"
"1684","מקיף ה דרכא","אשקלון","דרום"
"1359","מבואות","באר טוביה","דרום"
"1397","נופים","באר טוביה","דרום"
"1398","יד חזון","באר טוביה","דרום"
"1399","רגבים","באר טוביה","דרום"
"897","הדרים","באר יעקב","מרכז"
"898","צאלון","באר יעקב","מרכז"
"899","רמון","באר יעקב","מרכז"
"1614","תלמים","באר יעקב","מרכז"
"900","אשכול ","באר שבע","דרום"
"902","יחדיו","באר שבע","דרום"
"903","נטעים","באר שבע","דרום"
"904","גבים","באר שבע","דרום"
"905","חזון עובדיה","באר שבע","דרום"
"1115","אמירים ","באר שבע","דרום"
"1117","יובלים","באר שבע","דרום"
"1120","רמב""ם","באר שבע","דרום"
"1138","היובל","באר שבע","דרום"
"1145","נווה במדבר","באר שבע","דרום"
"1228","בית מוריה","באר שבע","דרום"
"1377","נתיבי עם","באר שבע","דרום"
"1400","נטעים מיתרים","באר שבע","דרום"
"1401","רכסים","באר שבע","דרום"
"1402","מקיף ז'","באר שבע","דרום"
"1413","מקיף אמי""ת ","באר שבע","דרום"
"1431","חב""ד בנים","באר שבע","דרום"
"1547","חב""ד עוזיאל","באר שבע","דרום "
"1581","מענית","באר שבע","דרום"
"1585","נאות לון","באר שבע","דרום"
"1701","מרכז קהילתי פאני קפלן","באר שבע","דרום"
"1699","טוקאיר","בחן","מרכז"
"1604","בראשית","בית אלעזרי","מרכז"
"906","ממ''ד רמב''ם","בית דגן","מרכז"
"1634","ממ""ד בית חורון","בית חורון","ירושלים"
"1447","שדות איילון","בית חשמונאי","מרכז"
"1482","הרצוג","בית חשמונאי","מרכז"
"907","ויצמן","בית יהושע","תל אביב"
"1293","בדרך אל בי""ס בטב""ע","בית עובד","מרכז"
"908","רותם","בית שאן","צפון"
"1382","אורט כללי","בית שאן","צפון"
"1550","גולני","בית שאן","צפון"
"1226","אליקים","בית שמש","ירושלים"
"1461","אורות בנים ","בית שמש","ירושלים"
"1629","תיכון ברנקו וייס","בית שמש","ירושלים"
"1630","לוי אשכול","בית שמש","ירושלים"
"1631","אמי""ת שחר","בית שמש","ירושלים"
"1632","ישיבת אהבת ישראל","בית שמש","ירושלים"
"1633","אהבת ישראל - בנות","בית שמש","ירושלים"
"1635","חב""ד","בית שמש","ירושלים"
"1462","אבן העזר","בית שמש ","ירושלים"
"1498","אורות בנות ","בית שמש ","ירושלים"
"909","עירוני כללי (רמז) וחט''ב","בני ברק","תל אביב"
"910","ת''ת בית חנוך ק.הרצוג","בני ברק","תל אביב"
"911","סגולה","בני ברק","תל אביב"
"912","משואות מוליבר","בני ברק","תל אביב"
"1530","אורט נווה שרה","בני ברק","תל אביב"
"1213","מצפה גולן","בני יהודה","צפון"
"1142","אופק חדשני","בני עי""ש","מרכז"
"924","גבע","בנימינה-גבעת עדה","חיפה"
"1173","אמירים ","בנימינה-גבעת עדה","חיפה"
"1174","אשכולות","בנימינה-גבעת עדה","חיפה"
"1308","הנדיב","בנימינה-גבעת עדה","חיפה"
"1541","אורט בנימינה","בנימינה-גבעת עדה","חיפה"
"913","בן גוריון","בת ים","תל אביב"
"914","דויד אלעזר","בת ים","תל אביב"
"915","אורות התורה","בת ים","תל אביב"
"916","אורט רמת יוסף","בת ים","תל אביב"
"917","יגאל אלון","בת ים","תל אביב"
"918","תיכון  מקיף שזר","בת ים","תל אביב"
"919","ציפורי","בת ים","תל אביב"
"920","שרת","בת ים","תל אביב"
"1164","טבנקין","בת ים","תל אביב"
"1184","אולפן בת ים","בת ים","תל אביב"
"1185","מרכז השכלה","בת ים","תל אביב"
"1189","מרכז למצויינות","בת ים","תל אביב"
"1190","עקיבא","בת ים","תל אביב"
"1191","מרכז נוער נגבה","בת ים","תל אביב"
"1192","אולפנת צביה","בת ים","תל אביב"
"1245","גורדון","בת ים","תל אביב"
"1332","אולפן שרית","בת ים","תל אביב"
"1525","אורט מלטון","בת ים","תל אביב"
"921","לב הפרדס","גאולים","מרכז"
"1387","שער הנגב","גבים","דרום"
"1649","יחד","גבעת אלה","צפון"
"923","ממלכתי ג' נווה מנחם","גבעת זאב","ירושלים"
"1445","מורשת מנחם","גבעת שמואל","מרכז"
"1445","מורשת מנחם","גבעת שמואל","מרכז"
"1445","מורשת מנחם","גבעת שמואל","מרכז"
"925","יגאל אלון","גבעתיים","תל אביב"
"926","אמונים","גבעתיים","תל אביב"
"927","כצנלסון","גבעתיים","תל אביב"
"928","גורדון","גבעתיים","תל אביב"
"1165","בורכוב","גבעתיים","תל אביב"
"1166","ברנר","גבעתיים","תל אביב"
"1193","אורט טכניקום","גבעתיים","תל אביב"
"1194","בן גוריון","גבעתיים","תל אביב"
"1457","שמעוני","גבעתיים","תל אביב"
"1490","תיכון בית אקשטיין","גבעתיים","תל אביב"
"1526","אורט גבעתיים","גבעתיים","תל אביב"
"1578","שמעון בן צבי","גבעתיים","תל אביב"
"1294","הבילויים","גדרה","מרכז"
"1479","פינס","גדרה","מרכז"
"1480","רעות","גדרה","מרכז"
"1567","גוונים ","גדרה","מרכז"
"1109","גדרות- עשרת","גדרות","מרכז"
"929","ראשית","גוש עציון","ירושלים"
"1107","גוונים","גזר","מרכז"
"1380","אורט ע""ש נעמי שמר","גן יבנה","מרכז"
"1450","בן גוריון","גן יבנה","מרכז"
"1512","אורט רבין","גן יבנה","מרכז"
"1593","אילן רמון","גן יבנה","מרכז"
"1539","נר הגלבוע","גן נר","צפון "
"984","גן רווה","גן רווה","מרכז"
"930","גנים","גני תקווה","מרכז"
"1358","הראשונים","גני תקווה","מרכז"
"1446","אריאל","גני תקווה","מרכז"
"931","שדות יואב","גת","דרום"
"1412","יהודית דולב","דולב","ירושלים"
"1403","אלפסי","דימונה","דרום"
"1404","נווה עמרם","דימונה","דרום"
"1414","בן עטר ","דימונה","דרום"
"1589","עמי אסף","דימונה","דרום"
"1619","ליהמן","דימונה","דרום"
"1620","נועם חיים","דימונה","דרום"
"983","עמי אסף","דרום השרון","מרכז"
"932","הניסויי צורים","הוד השרון","מרכז"
"1295","הראשונים","הוד השרון","מרכז"
"1367","נווה נאמן","הוד השרון","מרכז"
"1647","יצחק רבין","הוד השרון","מרכז"
"1641","פלגים הזורע","הזורע","צפון"
"933","בן גוריון","הרצליה","תל אביב"
"934","נוף ים","הרצליה","תל אביב"
"935","חטיבת יד גיורא","הרצליה","תל אביב"
"936","רעות","הרצליה","תל אביב"
"937","גורדון","הרצליה","תל אביב"
"1181","ברנר","הרצליה","תל אביב"
"1196","אלון","הרצליה","תל אביב"
"1197","לב טוב","הרצליה","תל אביב"
"1198","הנדיב","הרצליה","תל אביב"
"1199","הנדסאים","הרצליה","תל אביב"
"1200","זאב","הרצליה","תל אביב"
"1201","סמדר","הרצליה","תל אביב"
"1202","שמואל הנגיד","הרצליה","תל אביב"
"1203","בר אילן","הרצליה","תל אביב"
"1266","הרצל","הרצליה","תל אביב"
"1267","אילנות","הרצליה","תל אביב"
"1268","רמב""ם","הרצליה","תל אביב"
"1381","צביה","הרצליה","תל אביב"
"1437","יוחנני","הרצליה","תל אביב"
"1438","בן צבי","הרצליה","תל אביב"
"1439","ויצמן","הרצליה","תל אביב"
"1611","ברנדיס","הרצליה","תל אביב"
"1612","שז""ר","הרצליה","תל אביב"
"938","החיטה","זכרון יעקב","חיפה"
"1099","ניל""י","זכרון יעקב","חיפה"
"1101","החורש","זכרון יעקב","חיפה"
"1102","החיטה","זכרון יעקב","חיפה"
"1309","קשת ","זכרון יעקב","חיפה"
"1645","תיכון זכרון יעקב","זכרון יעקב","חיפה"
"1292","בני עטרות","בני עטרות","מרכז"
"939","ניצנים","חדרה","חיפה"
"1175","אדנים","חדרה","חיפה"
"1310","אחד העם","חדרה","חיפה"
"1311","אילן רמון","חדרה","חיפה"
"1312","ארלוזורוב","חדרה","חיפה"
"1313","הגורן","חדרה","חיפה"
"1314","השחף","חדרה","חיפה"
"1315","פאר עם","חדרה","חיפה"
"1316","צליל","חדרה","חיפה"
"1317","קפלן","חדרה","חיפה"
"1318","שילה","חדרה","חיפה"
"1368","מוריה","חדרה","חיפה"
"1500","בית אליעזר","חדרה","חיפה"
"1501","צפרירים","חדרה","חיפה"
"1544","נעמת ","חדרה","חיפה"
"1691","הרב תחומי למדעים ולאמנויות","חדרה","חיפה"
"1704","יבנה","חדרה","חיפה"
"1440","תיכון חדרה","חדרה ","חיפה"
"940","אמירים ","חולון","תל אביב"
"941","ביאליק","חולון","תל אביב"
"942","התבור","חולון","תל אביב"
"943","שנקר","חולון","תל אביב"
"944","ניב","חולון","תל אביב"
"945","הרצפלד","חולון","תל אביב"
"946","קוגל","חולון","תל אביב"
"947","גורדון","חולון","תל אביב"
"1204","אורט חולון","חולון","תל אביב"
"1205","שרת","חולון","תל אביב"
"1206","אילון","חולון","תל אביב"
"1207","הס","חולון","תל אביב"
"1208","יצחק שמיר","חולון","תל אביב"
"1209","ישורון","חולון","תל אביב"
"1210","קציר","חולון","תל אביב"
"1260","גולדה מאיר חט""ב","חולון","תל אביב"
"1269","שזר","חולון","תל אביב"
"1496","דביר ","חולון ","מרכז"
"1557","בן גוריון","חולון ","תל אביב"
"948","הבונים יסודי","חיפה","חיפה"
"949","ליאו בק חט''ב","חיפה","חיפה"
"1149","גבריאלי","חיפה","חיפה"
"1150","אילנות  ","חיפה","חיפה"
"1151","אליאנס","חיפה","חיפה"
"1152","הרצל","חיפה","חיפה"
"1153","רוממה","חיפה","חיפה"
"1154","עין הים","חיפה","חיפה"
"1155","נירים","חיפה","חיפה"
"1156","הריאלי העברי - יסודי הדר","חיפה","חיפה"
"1215","שלווה","חיפה","חיפה"
"1241","דינור","חיפה","חיפה"
"1283","אהוד","חיפה","חיפה"
"1284","אהרון הראה בנים","חיפה","חיפה"
"1285","אינשטיין","חיפה","חיפה"
"1286","אלון","חיפה","חיפה"
"1287","בסמת","חיפה","חיפה"
"1288","הריאלי חט""ב אחוזה","חיפה","חיפה"
"1289","הריאלי חט""ב הדר","חיפה","חיפה"
"1290","טשרניחובסקי","חיפה","חיפה"
"1291","עירוני ג","חיפה","חיפה"
"1329","עליה","חיפה","חיפה"
"1330","נוה יוסף","חיפה","חיפה"
"1331","חופית","חיפה","חיפה"
"1561","אורט קייב - ליאו בק יסודי","חיפה","חיפה"
"1639","יזרעאלה","חיפה","חיפה"
"1695","תל חי","חיפה","חיפה"
"1433","נתיב אליעזר כרמל","חיפה ","חיפה "
"1434","עופר","חיפה ","חיפה "
"1435","זכרון יוסף","חיפה ","חיפה "
"1436","ליאו בק יסודי","חיפה ","חיפה "
"1558","אמי""ת","חצור גלילית ","צפון"
"1520","אורט חצור הגלילית","חצור הגלילית","צפון"
"1590","יסודי ע""ש אברט","חצור הגלילית","צפון"
"1683","חוני המעגל","חצור הגלילית","צפון"
"1706","שבט סופר","חצור הגלילית","צפון"
"950","הדר השרון","חרות מועצה אזורית לב השרון","מרכז"
"1459","רמת מודיעין ","חשמונאים ","ירושלים"
"1211","תחכמוני","טבריה","צפון"
"1519","אורט במעלה","טבריה","צפון"
"1650","נעם","טבריה","צפון"
"1675","תכנית מגשימים - מכללת עמק הירדן","טבריה","צפון"
"1227","יגאל אלון","טירת כרמל","חיפה"
"1320","עליזה ארבלי דגניה","טירת כרמל","חיפה"
"1337","נפתלי","יבנאל","צפון"
"1376","הירוק על שם יצחק רבין","יבנה","מרכז"
"1463","יחידני","יבנה","מרכז"
"1481","מעיין חט""ב","יבנה","מרכז"
"1509","אורט אורמת","יבנה","מרכז"
"1656","האורן גינזבורג","יבנה","מרכז"
"951","הרצל","יהוד-מונוסון","מרכז"
"952","במעלה","יהוד-מונוסון","מרכז"
"1104","רמז","יהוד-מונוסון","מרכז"
"1236","תיכון מקיף יהוד","יהוד-מונוסון","מרכז"
"1608","היובל","יהוד-מונסון","מרכז"
"1405","מעלה שחרות","יטבתה","דרום"
"1594","ממ""ד יסודות","יסודות","מרכז"
"1517","אורט אלון","יקנעם","צפון"
"1537","הדסים ","יקנעם","צפון "
"1538","תדהר","יקנעם","צפון "
"1122","קול יעקב","ירוחם","דרום"
"1504","אורט ירוחם","ירוחם","דרום"
"1627","אורט ספיר","ירוחם","דרום"
"1682","המאוחד","ירוחם","דרום"
"953","פרדס","ירושלים","מנח""י"
"954","חט''ב פסגת זאב","ירושלים","מנח""י"
"955","רמת מוריה","ירושלים","מנח""י"
"956","יוני נתניהו","ירושלים","מנח""י"
"957","אגרון","ירושלים","מנח""י"
"958","אפרתה","ירושלים","מנח""י"
"959","ממ''ד תלפז","ירושלים","מנח""י"
"960","תל''י צפון","ירושלים","מנח""י"
"961","תל''י גילה","ירושלים","מנח""י"
"962","יד המורה","ירושלים","מנח""י"
"963","מקור חיים","ירושלים","מנח""י"
"964","חב''ד עיר גנים","ירושלים","מנח""י"
"965","יהודה הלוי","ירושלים","מנח""י"
"966","בית הכרם","ירושלים","מנח""י"
"967","ראשית","ירושלים","מנח""י"
"968","אהבת ישראל","ירושלים","מנח""י"
"1147","אלונים","ירושלים","מנח""י"
"1148","היובל","ירושלים","מנח""י"
"1251","פלך","ירושלים","מנח""י"
"1253","והדרת","ירושלים","מנח""י"
"1341","הרא""ל","ירושלים","מנח""י"
"1343","רעות","ירושלים","מנח""י"
"1497","מנשה אלישר","ירושלים","מנח""י"
"1508","אורט מינקוף","ירושלים","מנח""י"
"1510","אורט ספניאן","ירושלים","מנח""י"
"1511","אורט גבעת רם","ירושלים","מנח""י"
"1588","חורב","ירושלים","מנח""י"
"1607","הרטמן","ירושלים","מנח""י"
"1664","הימלפרב","ירושלים","מנח""י"
"1665","גילה ע""ש גרינברג","ירושלים","מנח""י"
"1666","בית רחל שטראוס","ירושלים","מנח""י"
"1667","יפה נוף","ירושלים","מנח""י"
"1668","אור תורה בנים","ירושלים","מנח""י"
"1669","קשת","ירושלים","מנח""י"
"1670","פסגת דוד","ירושלים","מנח""י"
"1671","שובו","ירושלים","מנח""י"
"1672","שובו נווה יעקב","ירושלים","מנח""י"
"1677","דוגמא עוזיאל","ירושלים","מנח""י"
"1679","תכנית מגשימים","ירושלים","מנח""י"
"1680","מדעי טכנולוגי פסגת זאב","ירושלים","מנח""י"
"1685","פנינת הצפון","ירושלים","מנח""י"
"1686","איילת השחר","ירושלים","מנח""י"
"1687","עטרת רחל","ירושלים","מנח""י"
"1688","בינה ודעת","ירושלים","מנח""י"
"1689","נוות ישראל יסודי","ירושלים","מנח""י"
"1692","השלום","ירושלים","מנח""י"
"1696","לוריא","ירושלים","מנח""י"
"1707","נחלת בנימין","ירושלים","מנח""י"
"973","קשת","כוכב יאיר","מרכז"
"1383","אילן רמון","כוכב יאיר","מרכז"
"1534","אורות אדית ","כוכב יעקב ","ירושלים"
"1157","נעמי שמר","כנרת","צפון"
"1636","מעיינות אשכול בוגר","כפר אדומים","ירושלים"
"1637","מעיינות אשכול צעיר","כפר אדומים","ירושלים"
"1663","תיכון כפר אדומים","כפר אדומים","ירושלים"
"1248","יעדים","כפר ביאליק","חיפה"
"1468","בן שמן","כפר הנוער בן שמן","מרכז"
"975","ויתקין","כפר ויתקין","מרכז"
"974","קשת","כפר ורדים","צפון"
"1305","ממ""ד לבנות","כפר חב""ד","מרכז"
"1342","יסודי לבנות","כפר חב""ד","מרכז"
"1342","יסודי לבנות","כפר חב""ד","מרכז"
"1303","בר אילן","כפר יונה","מרכז"
"1485","איש שלום","כפר יונה","מרכז"
"1486","רימון","כפר יונה","מרכז"
"1487","בית חינוך עמל","כפר יונה","מרכז"
"1333","שכטרמן","כפר יעבץ","מרכז"
"969","כצנלסון","כפר סבא","מרכז"
"970","גלילי","כפר סבא","מרכז"
"971","אוסישקין","כפר סבא","מרכז"
"972","אופירה נבון","כפר סבא","מרכז"
"1296","גורדון","כפר סבא","מרכז"
"1379","בר לב","כפר סבא","מרכז"
